serial_attacking,player_name,club,position,assists_attacking,corner_taken_attacking,offsides_attacking,dribbles_attacking,match_played_attacking,serial_attempts,total_attempts_attempts,on_target_attempts,off_target_attempts,blocked_attempts,match_played_attempts,serial_goals,goals_goals,right_foot_goals,left_foot_goals,headers_goals,others_goals,inside_area_goals,outside_areas_goals,penalties_goals,match_played_goals,serial_disciplinary,fouls_committed_disciplinary,fouls_suffered_disciplinary,red_disciplinary,yellow_disciplinary,minutes_played_disciplinary,match_played_disciplinary,minutes_played_key_stats,match_played_key_stats,goals_key_stats,assists_key_stats,distance_covered_key_stats,cluster_offensive
1.0,Bruno Fernandes,Man. United,Midfielder,7.0,10.0,2.0,7.0,7.0,52.0,12.0,3.0,3.0,6.0,7.0,,,,,,,,,,,201.0,5.0,9.0,0.0,0.0,520.0,7.0,520.0,7.0,0.0,7.0,58.4,0
64.0,Bruno Tabata,Sporting CP,Midfielder,1.0,2.0,0.0,2.0,4.0,219.0,4.0,1.0,1.0,2.0,4.0,73.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,4.0,201.0,5.0,2.0,1.0,0.0,201.0,4.0,201.0,4.0,1.0,1.0,28.3,2
,Burak Yilmaz,LOSC,Forward,,,,,,13.0,25.0,8.0,9.0,8.0,7.0,,,,,,,,,,,,,,,,,,,,,,,3
,Burak Yılmaz,LOSC,Forward,,,,,,,,,,,,23.0,3.0,2.0,1.0,0.0,0.0,2.0,1.0,1.0,7.0,94.0,8.0,11.0,2.0,0.0,529.0,7.0,529.0,7.0,3.0,0.0,56.2,2
,Bushchan,Dynamo Kyiv,Goalkeeper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,450.0,5.0,0.0,0.0,25.6,3
,Buyalskiy,Dynamo Kyiv,Midfielder,,,,,,219.0,4.0,3.0,0.0,1.0,5.0,,,,,,,,,,,417.0,2.0,14.0,1.0,0.0,436.0,5.0,436.0,5.0,0.0,0.0,58.5,0
,Bürgy,Young Boys,Defender,,,,,,440.0,1.0,1.0,0.0,0.0,2.0,,,,,,,,,,,491.0,1.0,4.0,0.0,0.0,180.0,2.0,180.0,2.0,0.0,0.0,21.4,3
,C. Martins Pereira,Young Boys,Midfielder,,,,,,179.0,5.0,1.0,3.0,1.0,5.0,,,,,,,,,,,107.0,7.0,4.0,1.0,0.0,420.0,5.0,420.0,5.0,0.0,0.0,44.5,0
,Calabria,Milan,Defender,,,,,,440.0,1.0,0.0,1.0,0.0,4.0,,,,,,,,,,,417.0,2.0,3.0,0.0,0.0,315.0,4.0,315.0,4.0,0.0,0.0,38.5,3
,Camara,Salzburg,Midfielder,,,,,,277.0,3.0,0.0,3.0,0.0,8.0,,,,,,,,,,,20.0,14.0,23.0,2.0,0.0,672.0,8.0,672.0,8.0,0.0,0.0,80.9,0
,Camara,Young Boys,Defender,,,,,,347.0,2.0,1.0,1.0,0.0,4.0,,,,,,,,,,,263.0,4.0,0.0,0.0,0.0,347.0,4.0,347.0,4.0,0.0,0.0,30.5,3
64.0,Camavinga,Real Madrid,Midfielder,1.0,0.0,1.0,2.0,10.0,347.0,2.0,0.0,2.0,0.0,10.0,,,,,,,,,,,201.0,5.0,10.0,1.0,0.0,296.0,10.0,296.0,10.0,0.0,1.0,40.2,0
,Capaldo,Salzburg,Midfielder,,,,,,440.0,1.0,0.0,0.0,1.0,7.0,,,,,,,,,,,16.0,15.0,8.0,3.0,0.0,281.0,7.0,281.0,7.0,0.0,0.0,36.9,0
5.0,Capoue,Villarreal,Midfielder,4.0,0.0,0.0,17.0,12.0,98.0,9.0,3.0,4.0,2.0,12.0,43.0,2.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,12.0,2.0,19.0,17.0,3.0,1.0,1046.0,12.0,1046.0,12.0,2.0,4.0,130.9,1
